id,name
0,Contact with moving machinery
1,"Struck by moving, including flying/falling, object"
2,Struck by moving vehicle
3,Strike against something fixed or stationary
4,"Injured while handling, lifting or carrying"
5,"Slips, trips or falls on same level"
6,Falls from a height
7,Trapped by something collapsing/overturning
8,Drowning or asphyxiation
9,"Exposure to, or contact with, a harmful substance"
10,Exposure to fire
11,Exposure to an explosion
12,Contact with electricity or electrical discharge
13,Injured by an animal
14,Acts of violence
15,Other kind of accident
